link,title
https://play.google.com/store/apps/details?id=com.jumpgames.rswrb,"    Real Steel World Robot Boxing  , "
https://play.google.com/store/apps/details?id=com.kabam.marvelbattle,"    Marvel 올스타 배틀  , "
https://play.google.com/store/apps/details?id=com.nhnent.SKLEGIONZ.KG,"    레기온즈  , "
https://play.google.com/store/apps/details?id=com.bicore.s2lancerg,"    엘가드 혈법사  , "
https://play.google.com/store/apps/details?id=com.rayark.pluto,"    Deemo  , "
https://play.google.com/store/apps/details?id=com.com2us.golfstarworldtour.normal.freefull.google.global.android.common,"    골프스타  , "
https://play.google.com/store/apps/details?id=com.ea.game.maddenmobile15_row,"    Madden NFL Mobile  , "
https://play.google.com/store/apps/details?id=com.hbo.fcmm,"    FC매니저 모바일 2014 - 축구 게임  , "
https://play.google.com/store/apps/details?id=com.gamevil.mlbpi.ad.google.ww,"    MLB 퍼펙트이닝  , "
https://play.google.com/store/apps/details?id=com.gamevil.fishing.global,"    피싱마스터 : 시즌3  , "
https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator,"    Goat Simulator  , "
https://play.google.com/store/apps/details?id=net.daum.game.android.c11,"    신데렐라 일레븐  , "
https://play.google.com/store/apps/details?id=com.joycity.RuleTheSky,"    룰더스카이 (Rule the Sky)  , "
https://play.google.com/store/apps/details?id=com.palmple.korproc.google,"    큐라레: 마법도서관  , "
https://play.google.com/store/apps/details?id=com.nexon.PuzzleDNF,"    퍼즐 던파  , "
https://play.google.com/store/apps/details?id=com.orangecrew.moriahsaga_r,"    모리아사가R  , "
https://play.google.com/store/apps/details?id=jp.selectbutton.manbotheworld,"    살아남아라! 개복치  , "
https://play.google.com/store/apps/details?id=pl.idreams.skyforcehd,"    스카이 포스 2014 - Sky Force 2014  , "
https://play.google.com/store/apps/details?id=com.pagenetsoft.fishing_deluxe,"    Pocket Fishing  , "
https://play.google.com/store/apps/details?id=com.fireflame.dungeonraid,"    Dungeon Raid  , "
https://play.google.com/store/apps/details?id=com.gamevil.plantswar.glo,"    플랜츠워  , "
https://play.google.com/store/apps/details?id=com.leagem.zombieescape,"    좀비탈출 - Zombie Escape  , "
https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftJDHM,"    Danger Dash  , "
https://play.google.com/store/apps/details?id=joybits.doodlegod,"    Doodle God™  , "
https://play.google.com/store/apps/details?id=com.go.poppop,"    Pip Pop - Ocean Matching Game  , "
https://play.google.com/store/apps/details?id=com.ezjoynetwork.ninjadashing,"    닌자 대쉬  , "
https://play.google.com/store/apps/details?id=jp.oridio.strikeThePlanets,"    Strike The Planets!  , "
https://play.google.com/store/apps/details?id=air.jp.ne.hap.tdb,"    미친 투수  , "
https://play.google.com/store/apps/details?id=com.firsttouchgames.score,"    Score! World Goals  , "
https://play.google.com/store/apps/details?id=jp.colopl.sukimax,"    틈새를 노려라 X(NIGHTBIRD TRIGGER X)  , "
